comment_description,question,created_user
Face to face grid-enabled attitude,516,2
Versatile analyzing monitoring,60,1
Optimized encompassing strategy,453,3
Vision-oriented non-volatile frame,821,6
Automated explicit standardization,974,3
Open-source bottom-line definition,866,4
Quality-focused static local area network,662,4
Vision-oriented contextually-based customer loyalty,65,7
Mandatory client-server firmware,499,8
Configurable radical complexity,308,7
Right-sized 24/7 initiative,208,8
Reduced holistic hierarchy,102,6
Proactive upward-trending open architecture,978,8
Seamless holistic conglomeration,367,4
Proactive multi-tasking application,492,5
Synergistic executive project,409,8
Public-key intermediate customer loyalty,830,2
Synchronised national solution,307,7
Customizable local paradigm,159,4
Seamless upward-trending array,64,1
Enhanced 4th generation capacity,830,1
Ergonomic contextually-based support,98,3
Right-sized demand-driven interface,521,2
Organized system-worthy hub,15,7
Balanced bandwidth-monitored Graphic Interface,367,3
Exclusive value-added pricing structure,67,5
Realigned impactful core,929,2
Grass-roots asynchronous matrix,748,4
Object-based reciprocal focus group,835,6
Cloned context-sensitive artificial intelligence,237,8
Proactive coherent intranet,263,8
Sharable systematic Graphical User Interface,931,6
Total discrete open system,710,2
Persevering systematic protocol,299,2
Multi-tiered multi-tasking functionalities,38,8
User-centric 5th generation function,138,1
Upgradable responsive internet solution,372,1
Centralized 3rd generation capacity,290,2
Future-proofed heuristic methodology,877,1
Persevering human-resource interface,436,4
Enhanced maximized toolset,421,1
Diverse regional hub,270,3
Fundamental 4th generation knowledge user,913,2
Integrated value-added matrices,51,6
Compatible responsive functionalities,489,6
Compatible empowering concept,218,4
Configurable neutral artificial intelligence,775,1
Streamlined zero administration frame,624,4
Optional local monitoring,244,7
Down-sized 24/7 approach,930,2
Up-sized client-server initiative,744,3
Future-proofed exuding extranet,953,2
Customer-focused web-enabled hub,185,6
Fundamental real-time time-frame,513,7
Proactive 24/7 matrix,318,3
Customizable methodical access,394,8
Future-proofed mission-critical ability,52,3
Polarised real-time benchmark,854,3
Sharable 24/7 projection,94,5
Programmable zero tolerance interface,713,5
Stand-alone client-server core,737,7
Diverse uniform ability,612,8
Innovative eco-centric standardization,402,4
Total bi-directional artificial intelligence,340,6
Right-sized value-added product,94,4
Polarised systemic pricing structure,459,7
Profound value-added conglomeration,829,2
Face to face fault-tolerant collaboration,89,1
Cross-platform scalable definition,13,7
Intuitive 24 hour array,980,1
Phased multi-state circuit,623,4
Streamlined modular project,534,5
Devolved systemic algorithm,168,8
Public-key client-driven hardware,586,6
Automated client-driven open system,882,6
User-friendly next generation help-desk,368,2
Customizable bi-directional secured line,799,1
User-centric 24 hour protocol,8,6
Inverse cohesive array,493,3
Distributed coherent utilisation,469,1
Horizontal composite moderator,188,1
Robust cohesive policy,270,8
Grass-roots heuristic matrix,315,7
De-engineered incremental migration,842,3
Customizable zero administration function,620,5
Extended maximized architecture,556,2
Grass-roots multi-tasking knowledge base,128,6
Phased dedicated emulation,266,5
Right-sized reciprocal toolset,825,6
Cloned content-based productivity,421,4
Fully-configurable dedicated Graphical User Interface,346,7
Multi-tiered context-sensitive instruction set,208,3
Team-oriented fault-tolerant product,925,8
Switchable fresh-thinking implementation,672,4
Mandatory zero administration productivity,450,4
Distributed local monitoring,825,5
Persevering client-server info-mediaries,415,3
Visionary analyzing system engine,370,5
Configurable bi-directional core,390,7
Pre-emptive fault-tolerant methodology,894,6
Secured zero defect secured line,396,1
Switchable intermediate algorithm,607,6
Cloned hybrid alliance,932,1
Open-source client-driven solution,884,3
Pre-emptive client-driven support,877,2
Upgradable fresh-thinking help-desk,713,4
Cloned reciprocal model,851,3
Enhanced 5th generation interface,659,5
Self-enabling asymmetric framework,859,8
Devolved value-added challenge,461,1
Cloned optimizing protocol,293,7
Adaptive object-oriented orchestration,464,5
Horizontal local moderator,48,4
Cloned actuating productivity,217,7
Devolved client-server intranet,947,6
Synergistic coherent neural-net,251,6
Right-sized exuding artificial intelligence,15,2
Multi-channelled solution-oriented info-mediaries,329,8
Pre-emptive well-modulated data-warehouse,840,8
Fully-configurable bifurcated paradigm,239,2
Visionary 3rd generation extranet,770,1
Exclusive context-sensitive concept,17,3
Ergonomic mobile analyzer,611,5
Switchable multi-state function,109,7
Proactive 24 hour archive,796,8
Function-based leading edge orchestration,101,3
Seamless discrete monitoring,379,7
Ergonomic mobile software,44,3
Face to face attitude-oriented access,342,5
Profound dynamic open architecture,415,2
Organic user-facing functionalities,424,1
Sharable 5th generation software,758,1
Universal systematic customer loyalty,722,5
Distributed 24 hour Graphical User Interface,94,7
Profit-focused transitional workforce,314,5
User-friendly bandwidth-monitored emulation,605,3
Assimilated 24 hour adapter,698,4
Extended systematic system engine,624,5
Integrated multi-tasking conglomeration,298,6
Enhanced explicit budgetary management,217,2
Organized composite synergy,387,6
Face to face logistical success,998,5
Operative motivating ability,212,6
Networked object-oriented contingency,353,8
Seamless reciprocal solution,786,8
Secured global service-desk,920,4
Synergistic methodical interface,177,1
Adaptive 5th generation analyzer,149,4
Phased 4th generation monitoring,59,2
De-engineered disintermediate monitoring,268,1
Balanced systematic intranet,138,2
Virtual reciprocal knowledge base,715,2
Self-enabling non-volatile internet solution,10,8
Monitored disintermediate website,895,1
Automated context-sensitive emulation,168,7
Inverse intangible policy,488,7
Multi-layered dedicated adapter,649,3
Synergistic bandwidth-monitored pricing structure,430,3
Implemented 4th generation budgetary management,593,6
Re-contextualized context-sensitive flexibility,849,8
Down-sized fault-tolerant system engine,862,1
Multi-lateral static open system,821,7
Innovative system-worthy frame,500,2
Right-sized 6th generation service-desk,723,5
Streamlined coherent initiative,130,4
Compatible fresh-thinking productivity,678,2
Open-architected mobile toolset,660,7
Profound attitude-oriented Graphical User Interface,898,6
Monitored cohesive application,521,2
Public-key systematic model,228,3
Compatible regional algorithm,414,2
Future-proofed zero administration functionalities,302,5
Synergistic logistical matrices,774,2
Intuitive disintermediate knowledge base,589,3
Automated optimal knowledge user,380,5
Customer-focused maximized artificial intelligence,895,2
Cloned regional matrix,532,7
Reactive transitional methodology,594,7
User-centric scalable framework,499,5
Upgradable needs-based solution,600,8
Organized scalable website,304,5
Open-architected national hardware,850,6
Object-based demand-driven toolset,989,4
Operative intermediate function,499,7
Front-line clear-thinking extranet,554,6
Quality-focused systematic moratorium,775,4
Customizable foreground benchmark,245,4
User-friendly responsive customer loyalty,906,6
Innovative mission-critical emulation,252,2
Reactive dedicated extranet,381,3
Quality-focused uniform forecast,641,6
Front-line regional orchestration,545,6
Robust didactic database,913,3
Inverse incremental installation,318,2
Robust contextually-based leverage,895,5
Ameliorated solution-oriented strategy,305,5
Re-engineered demand-driven throughput,641,2
Triple-buffered client-server definition,843,7
Devolved encompassing pricing structure,129,2
Persistent intangible infrastructure,230,3
Self-enabling intermediate definition,659,3
Team-oriented dynamic ability,13,7
Mandatory zero tolerance knowledge base,85,1
Up-sized 5th generation approach,567,6
Multi-lateral reciprocal internet solution,292,1
Advanced regional initiative,27,3
Ergonomic system-worthy internet solution,323,6
Object-based attitude-oriented open system,672,2
Total 4th generation support,423,6
Balanced analyzing monitoring,872,8
Diverse disintermediate implementation,328,7
Synergistic 24/7 hardware,327,3
Phased high-level Graphic Interface,64,4
Innovative interactive extranet,893,3
Fundamental didactic emulation,866,3
Universal context-sensitive task-force,380,4
Universal executive extranet,416,6
Synergized background emulation,443,1
Multi-layered zero tolerance instruction set,329,2
Polarised motivating matrix,349,4
Synchronised methodical monitoring,933,4
Programmable grid-enabled project,290,7
Exclusive national pricing structure,557,2
Focused logistical infrastructure,620,3
Focused zero administration complexity,292,4
User-centric tangible local area network,312,7
Profound executive moratorium,604,6
Switchable static workforce,360,7
Mandatory mobile model,358,3
Cloned real-time frame,81,1
Automated systemic model,606,1
Integrated even-keeled knowledge base,230,2
Extended human-resource product,380,4
Mandatory local Graphic Interface,581,6
Profound fault-tolerant functionalities,46,3
Compatible global conglomeration,779,1
Reduced local initiative,869,3
Operative content-based access,709,7
Robust actuating contingency,622,6
Persevering scalable service-desk,544,2
Team-oriented bi-directional service-desk,598,7
Upgradable zero tolerance encoding,449,1
Down-sized multimedia website,65,6
Progressive next generation frame,341,6
Enhanced mission-critical functionalities,355,4
Triple-buffered mission-critical superstructure,645,5
Secured intangible standardization,145,8
Upgradable global structure,37,7
Persistent explicit website,792,4
Re-contextualized bottom-line methodology,203,1
Reactive full-range encoding,224,8
Synergistic web-enabled Graphical User Interface,769,7
Distributed scalable strategy,312,8
Streamlined multimedia initiative,237,3
Business-focused interactive hardware,494,5
Visionary foreground toolset,95,2
Optional full-range middleware,544,4
Expanded tertiary policy,690,8
Inverse uniform budgetary management,51,2
Diverse full-range pricing structure,798,2
Self-enabling context-sensitive knowledge user,61,1
Balanced grid-enabled conglomeration,851,7
Robust motivating analyzer,626,7
Right-sized coherent ability,378,6
Customizable optimal framework,843,1
Assimilated exuding Graphical User Interface,655,8
Seamless empowering superstructure,106,2
Exclusive stable moratorium,902,7
Profit-focused maximized open architecture,239,8
Expanded reciprocal budgetary management,568,5
Advanced zero administration challenge,646,8
Mandatory mission-critical algorithm,920,4
Quality-focused reciprocal project,870,4
Secured value-added toolset,787,4
User-friendly well-modulated initiative,34,2
Automated high-level solution,641,1
Future-proofed next generation intranet,737,3
Triple-buffered composite function,470,4
Operative context-sensitive alliance,856,2
Persevering logistical migration,510,1
Self-enabling intangible paradigm,874,5
Right-sized zero administration collaboration,384,4
Optional 4th generation superstructure,344,2
Seamless 5th generation toolset,274,8
Implemented needs-based flexibility,479,8
Virtual hybrid moderator,414,3
Virtual heuristic functionalities,629,7
Implemented context-sensitive conglomeration,669,3
Extended client-driven benchmark,403,2
Right-sized tertiary capacity,19,8
Multi-lateral 6th generation focus group,279,8
Customizable system-worthy solution,905,6
Reduced transitional superstructure,769,6
Re-contextualized national parallelism,568,6
Triple-buffered 24/7 methodology,269,1
Enterprise-wide foreground concept,541,8
De-engineered scalable help-desk,191,6
Managed national complexity,122,8
Programmable background capacity,204,6
Down-sized needs-based attitude,318,8
Front-line tertiary strategy,938,4
Centralized impactful installation,442,1
Multi-layered clear-thinking attitude,133,8
Function-based holistic attitude,910,4
Monitored non-volatile algorithm,641,5
Enterprise-wide object-oriented functionalities,478,5
Cloned scalable orchestration,580,3
Right-sized multimedia access,902,3
Synergized non-volatile structure,980,6
Right-sized client-server circuit,977,2
Sharable motivating product,606,5
Team-oriented needs-based algorithm,452,7
Ameliorated tertiary database,110,6
Organized asynchronous customer loyalty,580,7
Profound zero tolerance strategy,324,5
Upgradable scalable protocol,358,1
Multi-channelled zero defect archive,866,4
Devolved mission-critical encryption,3,4
Fully-configurable system-worthy toolset,386,6
Open-architected transitional analyzer,862,3
Monitored context-sensitive access,902,2
Up-sized reciprocal framework,724,2
Multi-tiered homogeneous secured line,978,2
Extended heuristic system engine,407,4
Realigned optimizing Graphic Interface,378,2
Organized object-oriented benchmark,380,2
Pre-emptive interactive website,915,5
Cloned background strategy,345,1
Mandatory 24/7 project,559,2
Synergized intermediate info-mediaries,162,5
Self-enabling composite intranet,305,6
Operative stable flexibility,642,3
Synergized scalable collaboration,190,6
Enterprise-wide full-range challenge,553,4
Optional secondary product,596,1
Right-sized regional function,111,6
Polarised logistical neural-net,55,7
Managed tangible instruction set,426,4
Integrated high-level knowledge user,694,7
Optional cohesive archive,869,3
Reduced local definition,788,8
Compatible intermediate success,817,3
Exclusive 5th generation access,973,2
Enterprise-wide non-volatile standardization,79,8
Upgradable stable artificial intelligence,504,6
User-centric full-range definition,163,7
Self-enabling scalable contingency,655,8
Horizontal background workforce,859,8
User-friendly systematic toolset,748,8
Reduced needs-based utilisation,302,8
Distributed methodical encryption,922,1
Pre-emptive background matrices,769,4
Operative attitude-oriented paradigm,161,3
Versatile 24 hour alliance,40,3
Configurable dynamic circuit,177,1
Innovative needs-based benchmark,590,7
Visionary systematic complexity,401,4
Balanced exuding software,929,5
Decentralized contextually-based Graphical User Interface,13,1
Pre-emptive object-oriented standardization,8,2
Team-oriented multimedia groupware,470,3
Customizable leading edge frame,868,5
Multi-lateral grid-enabled paradigm,371,7
User-friendly 24 hour open system,356,5
Secured 3rd generation pricing structure,954,1
Synergistic background encryption,135,6
Self-enabling coherent intranet,992,4
Vision-oriented bifurcated core,44,3
Virtual 24 hour challenge,399,7
Fully-configurable reciprocal matrices,971,1
Synergistic explicit portal,940,7
Realigned actuating encryption,753,2
Diverse multi-state customer loyalty,636,8
Ameliorated 3rd generation protocol,827,1
Stand-alone eco-centric emulation,421,3
User-friendly executive strategy,258,3
Future-proofed optimal capability,43,3
Digitized value-added local area network,876,5
Integrated client-driven alliance,322,4
Pre-emptive motivating artificial intelligence,659,2
Optimized disintermediate projection,913,8
Inverse uniform software,654,2
Horizontal asynchronous circuit,301,2
Implemented stable conglomeration,326,6
Ergonomic mobile functionalities,152,4
Mandatory analyzing productivity,511,6
Profit-focused multi-state moderator,856,2
Grass-roots needs-based budgetary management,636,3
Advanced client-driven time-frame,814,7
Devolved solution-oriented complexity,532,4
Fundamental static contingency,292,1
Grass-roots mobile support,284,3
Versatile full-range support,38,8
Organized web-enabled capability,245,2
Exclusive discrete task-force,847,4
Optimized stable strategy,933,4
Compatible didactic initiative,73,7
Polarised global functionalities,327,1
De-engineered composite utilisation,258,7
Function-based explicit focus group,773,1
Reactive context-sensitive algorithm,159,5
Profound local structure,722,2
Compatible national emulation,121,7
Public-key hybrid utilisation,620,1
Multi-layered disintermediate software,977,6
Re-contextualized system-worthy strategy,575,1
Profound cohesive forecast,734,4
Triple-buffered 6th generation system engine,717,1
Re-engineered optimal benchmark,106,7
Distributed non-volatile portal,629,5
Proactive motivating analyzer,241,3
Balanced dedicated intranet,466,5
Organic asymmetric model,278,7
Pre-emptive value-added middleware,108,1
Ergonomic clear-thinking matrix,147,5
Digitized even-keeled service-desk,270,8
Function-based 24 hour moderator,482,4
Digitized even-keeled structure,88,8
Reduced holistic framework,805,5
Realigned disintermediate concept,447,7
Customizable actuating portal,253,5
Grass-roots stable attitude,937,3
Face to face intangible customer loyalty,40,8
Virtual didactic secured line,401,7
Open-source value-added utilisation,43,2
Pre-emptive zero administration forecast,726,3
Triple-buffered solution-oriented local area network,263,8
Triple-buffered upward-trending hub,268,7
Cross-platform executive superstructure,328,1
Integrated heuristic local area network,701,4
Extended context-sensitive paradigm,388,4
Face to face 6th generation parallelism,620,4
Mandatory web-enabled interface,182,3
Business-focused mission-critical leverage,672,4
Persevering 24/7 function,157,6
Networked static collaboration,533,8
Public-key heuristic workforce,679,4
Advanced client-driven firmware,529,1
Reduced empowering support,941,8
Realigned bifurcated hierarchy,915,2
Operative uniform function,618,5
De-engineered web-enabled project,953,4
Ergonomic mobile installation,996,8
Inverse systemic help-desk,137,3
Robust zero defect orchestration,461,2
Profit-focused grid-enabled architecture,579,5
Programmable user-facing circuit,362,7
Configurable holistic flexibility,358,6
Realigned coherent strategy,941,1
Down-sized disintermediate capacity,929,4
Extended user-facing definition,510,3
Sharable multi-tasking challenge,347,3
Cloned mission-critical initiative,856,8
Reverse-engineered intermediate attitude,49,6
Programmable multi-tasking encryption,29,2
Reduced tangible hub,200,2
Cross-group 6th generation methodology,971,8
Polarised 24 hour hub,59,4
Intuitive reciprocal installation,616,7
Synchronised contextually-based circuit,823,2
Progressive non-volatile access,494,2
Triple-buffered optimizing ability,129,5
Object-based stable complexity,434,8
Optimized responsive attitude,895,5
Devolved context-sensitive help-desk,999,1
Self-enabling background archive,866,6
User-centric demand-driven emulation,797,3
Profound client-driven database,617,5
User-friendly discrete core,962,4
Multi-lateral actuating complexity,169,1
Optional directional standardization,900,8
De-engineered radical throughput,78,5
Object-based needs-based database,712,1
Multi-lateral asymmetric benchmark,723,4
Decentralized maximized projection,609,4
Innovative high-level encoding,751,4
Programmable multi-state infrastructure,164,7
Ameliorated 4th generation structure,269,3
User-friendly foreground paradigm,362,1
Organized maximized encoding,816,6
User-friendly fault-tolerant complexity,67,7
Pre-emptive secondary leverage,606,2
Re-engineered discrete emulation,926,2
Exclusive 3rd generation interface,367,7
Business-focused solution-oriented paradigm,389,2
Multi-layered interactive benchmark,67,3
Integrated global toolset,924,1
Centralized scalable toolset,657,5
Persistent executive time-frame,184,8
Optimized real-time toolset,791,8
Fully-configurable full-range solution,984,4
Persevering demand-driven model,359,8
Reverse-engineered hybrid workforce,25,4
Cross-platform hybrid workforce,527,5
Inverse multi-state application,898,4
Synchronised heuristic approach,964,5
Optional 5th generation forecast,778,2
Advanced bifurcated artificial intelligence,884,2
Sharable mobile utilisation,351,8
Cross-platform zero tolerance hierarchy,353,8
Visionary systemic architecture,784,5
Reduced 4th generation strategy,44,8
Synchronised high-level strategy,993,1
Business-focused contextually-based productivity,262,5
Object-based high-level standardization,681,7
Versatile client-driven productivity,908,5
Optimized systematic database,612,1
Sharable clear-thinking middleware,513,6
Optimized high-level knowledge base,625,5
Intuitive asynchronous intranet,530,5
Upgradable fresh-thinking array,657,7
Optimized impactful internet solution,131,5
Managed 24/7 Graphic Interface,419,7
Optimized modular groupware,5,1
Universal bi-directional infrastructure,333,4
Self-enabling cohesive software,824,5
Persevering 3rd generation parallelism,73,3
Enhanced uniform structure,952,7
Universal background matrices,260,6
Organized incremental concept,733,4
Multi-lateral intermediate ability,612,3
Synergized background data-warehouse,928,3
Self-enabling analyzing migration,605,1
Configurable bandwidth-monitored complexity,762,4
Front-line bifurcated artificial intelligence,200,5
Expanded intermediate database,29,2
Quality-focused multimedia database,19,3
Customizable demand-driven access,186,1
Front-line value-added toolset,888,8
Open-source modular artificial intelligence,800,8
Triple-buffered client-driven workforce,44,6
Face to face methodical superstructure,966,5
Balanced user-facing orchestration,465,3
Exclusive tertiary challenge,568,7
Virtual 24 hour firmware,556,8
Extended methodical software,82,6
Networked uniform installation,977,3
Cross-group 5th generation toolset,88,7
Integrated intermediate protocol,694,2
Universal zero defect methodology,379,1
Synergized global alliance,503,2
Assimilated well-modulated productivity,372,2
Upgradable holistic forecast,983,8
Universal disintermediate system engine,835,1
Right-sized bifurcated array,887,3
Reactive tangible analyzer,327,5
Object-based logistical synergy,414,1
Configurable static concept,671,4
Self-enabling holistic moderator,715,2
Vision-oriented incremental moderator,772,7
Synergized bandwidth-monitored open system,437,7
Synchronised encompassing extranet,24,8
Business-focused hybrid project,410,8
Horizontal didactic matrices,752,3
Visionary 5th generation capability,881,7
Stand-alone background strategy,178,3
Configurable multi-tasking paradigm,52,3
Persevering systematic project,370,5
Expanded tertiary capability,199,4
Ameliorated clear-thinking infrastructure,81,5
Balanced modular frame,822,7
Optional context-sensitive encoding,699,8
Intuitive transitional open system,791,1
Public-key zero tolerance project,354,2
Seamless analyzing moratorium,297,4
Visionary encompassing local area network,771,2
Reactive incremental neural-net,586,5
Adaptive exuding software,373,8
Switchable fault-tolerant moratorium,282,4
Innovative intangible moderator,514,6
Progressive background implementation,841,4
De-engineered impactful success,26,3
Front-line encompassing website,78,5
Enhanced secondary interface,493,7
Fundamental 24 hour approach,98,8
Multi-layered scalable website,432,8
Implemented clear-thinking capacity,379,5
Cross-platform zero administration artificial intelligence,1001,2
Networked executive neural-net,861,2
De-engineered content-based array,168,5
Robust coherent definition,694,2
Exclusive solution-oriented pricing structure,578,8
Automated fresh-thinking core,272,4
Open-source analyzing task-force,382,8
Inverse multimedia Graphical User Interface,741,5
Right-sized maximized service-desk,572,3
Polarised systematic superstructure,788,1
Re-engineered contextually-based moderator,660,4
Synchronised heuristic standardization,820,6
Mandatory exuding knowledge base,401,8
Cross-group context-sensitive initiative,616,2
Streamlined cohesive monitoring,212,5
Fully-configurable maximized open architecture,977,8
Progressive dynamic flexibility,628,2
Optimized clear-thinking algorithm,145,8
Ameliorated well-modulated alliance,760,6
Mandatory systemic architecture,970,5
Down-sized zero administration structure,193,4
Upgradable 4th generation ability,450,5
Polarised systemic superstructure,464,7
